Icfes_nuevo;Icfes_Matematicas;Tiempo_empleado_en_la_verificación_de_conocimientos;Dominio_Inicial;Categoria_temas_inicial;avance_precalculo_aleks;Dominio_Final;Categoria_temas_final;Tiempo_Total_Tiempo;Tiempo_total_Aprendidos_hora;programa_en_matricula;division_en_matricula;Mat_Curso_Asignatura_Relacionada;avance_cuartiles;cumplimiento_temas;nota_primer_parcial;nota_final
345;74;0,566666667;1;1 Repaso de álgebra y geometría;35;36;3 Temas Parcial 1 Cálculo I;31,16666667;0,962601162;Negocios Internacionales;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];Cumplimiento meta;5;3,4
0;0;0,2;2;1 Repaso de álgebra y geometría;11;13;2 Ecuaciones y desigualdades;8,066666667;1,36424708;Economía;Div Humanidades, Artes y Cs. S;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;4,5;4,1
302;62;0,15;1;1 Repaso de álgebra y geometría;13;14;2 Ecuaciones y desigualdades;23,41666667;0,555041628;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;1,1;1,5
369;67;1,466666667;7;1 Repaso de álgebra y geometría;31;38;3 Temas Parcial 1 Cálculo I;10,1;3,070996147;Ingeniería Civil;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;4,9;4,4
345;85;0,4;1;1 Repaso de álgebra y geometría;10;11;2 Ecuaciones y desigualdades;8,1;1,234398574;Economía;Div Humanidades, Artes y Cs. S;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;4,2;3,8
345;75;0,5;0;0 No dominó temas;2;2;1 Repaso de Álgebra y Geometría;1,316666667;1,522198732;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;3,7;3,7
325;58;0,566666667;0;0 No dominó temas;27;27;2 Ecuaciones y desigualdades;19,76666667;1,365475388;Negocios Internacionales;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];No alcanzo meta;4,3;3
352;81;0,216666667;2;1 Repaso de álgebra y geometría;8;10;1 Repaso de Álgebra y Geometría;5,183333333;1,543822032;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;2;2
365;71;0,683333333;6;1 Repaso de álgebra y geometría;28;34;3 Temas Parcial 1 Cálculo I;18,76666667;1,705075263;Ingeniería Mecánica;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;4,2;3,4
432;76;0,65;12;2 Ecuaciones y desigualdades;24;36;3 Temas Parcial 1 Cálculo I;9,85;2,436891835;Ingeniería Industrial;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;3,8;4,1
372;79;0,15;1;1 Repaso de álgebra y geometría;34;35;3 Temas Parcial 1 Cálculo I;30,03333333;1,19865706;Administración de Empresas;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];Cumplimiento meta;4,7;3,8
363;74;0,35;1;1 Repaso de álgebra y geometría;76;77;4 Temas Parcial 2 Cálculo I;41,58333333;1,827997221;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;3 Avance superior a 60 temas;Cumplimiento meta;5;5
308;67;0,6;6;1 Repaso de álgebra y geometría;5;11;2 Ecuaciones y desigualdades;4,366666667;1,1453296;Ingeniería Mecánica;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;3,2;3
274;61;1,266666667;0;0 No dominó temas;23;23;2 Ecuaciones y desigualdades;21,01666667;1,094167085;Contaduría Pública;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];No alcanzo meta;4,7;3,9
304;55;0,183333333;1;1 Repaso de álgebra y geometría;36;37;3 Temas Parcial 1 Cálculo I;22,83333333;1,401425756;Contaduría Pública;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];Cumplimiento meta;4,1;4
280;68;0,066666667;1;1 Repaso de álgebra y geometría;2;3;1 Repaso de Álgebra y Geometría;4,066666667;0,491232858;Administración de Empresas;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;2,2;2,4
373;68;1,333333333;21;2 Ecuaciones y desigualdades;14;35;3 Temas Parcial 1 Cálculo I;8,166666667;1,71405251;Ingeniería Electrónica;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;Cumplimiento meta;4,2;4
335;68;0,233333333;0;0 No dominó temas;26;26;2 Ecuaciones y desigualdades;12,38333333;2,099266602;Negocios Internacionales;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];No alcanzo meta;4,6;4,4
358;74;0,766666667;7;1 Repaso de álgebra y geometría;28;35;3 Temas Parcial 1 Cálculo I;9,6;2,916582275;Negocios Internacionales;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];Cumplimiento meta;3,8;4,5
261;52;0,433333333;0;0 No dominó temas;19;19;2 Ecuaciones y desigualdades;13,7;1,460061241;Ingeniería Civil;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];No alcanzo meta;2,7;3,1
202;43;0,166666667;0;0 No dominó temas;14;14;1 Geometría;8,133333333;1,720136519;Arquitectura;Escuela Arquitectura Urb y Dis;MAT1011;0 Avance menor a 15 temas;No alcanzo meta;3,1;3,8
363;69;0,066666667;1;1 Repaso de álgebra y geometría;32;33;3 Temas Parcial 1 Cálculo I;19,95;1,403469689;Ingeniería Mecánica;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;3,8;3,3
335;70;0,7;2;1 Repaso de álgebra y geometría;33;35;3 Temas Parcial 1 Cálculo I;38,81666667;0,901777791;Contaduría Pública;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];Cumplimiento meta;4,7;4,5
443;100;0,05;0;0 No dominó temas;37;37;3 Temas Parcial 1 Cálculo I;58,46666667;0,615814457;Ingeniería Electrónica;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;2,14;1,5
367;65;0,8;13;2 Ecuaciones y desigualdades;15;28;2 Ecuaciones y desigualdades;4,133333333;3,625377644;Ingeniería Electrónica;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;3,5;3,6
287;59;0,366666667;0;0 No dominó temas;37;37;3 Temas Parcial 1 Cálculo I;33,15;1,236729872;Ingeniería Electrónica;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;1,75;1,5
297;67;0,6;0;0 No dominó temas;29;29;2 Ecuaciones y desigualdades;8,166666667;1,469787697;Ingeniería Mecánica;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];No alcanzo meta;0,5;1,5
342;64;0,383333333;1;1 Repaso de álgebra y geometría;26;27;2 Ecuaciones y desigualdades;12,43333333;1,769871952;Administración de Empresas;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];No alcanzo meta;4,4;3,3
352;73;0,15;0;0 No dominó temas;2;2;1 Repaso de Álgebra y Geometría;2,733333333;0,731187164;Negocios Internacionales;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;4,6;2,6
402;78;;0;0 No dominó temas;0;0;0 No dominó temas;0,983333333;0;Ingeniería Industrial;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;4,5;4,5
329;62;0,883333333;3;1 Repaso de álgebra y geometría;32;35;3 Temas Parcial 1 Cálculo I;18,45;1,787998736;Ingeniería Mecánica;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;3,8;3,6
318;64;1,266666667;9;1 Repaso de álgebra y geometría;19;28;2 Ecuaciones y desigualdades;21,9;0,867425876;Negocios Internacionales;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];No alcanzo meta;4;4,1
365;76;0,8;4;1 Repaso de álgebra y geometría;7;11;2 Ecuaciones y desigualdades;5,233333333;1,335877863;Negocios Internacionales;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;5;4,8
358;70;0,483333333;29;1 Repaso de álgebra y geometría;114;143;5 Funciones trigonométricas;27,73333333;4,073784774;Ciencia de Datos;División de Ciencias Básicas;MAT4190;3 Avance superior a 80 temas;Cumplimiento meta;3,9;3,8
358;70;1,85;27;2 Ecuaciones y desigualdades;41;68;4 Temas Parcial 2 Cálculo I;21,63333333;1,803236578;Ciencia de Datos;División de Ciencias Básicas;MAT1101;2 Avance entre [ 40 - 60 temas];Cumplimiento meta;2,8;2,7
362;76;0,583333333;10;1 Repaso de álgebra y geometría;34;44;3 Temas Parcial 1 Cálculo I;19,88333333;2,012325494;Ingeniería Mecánica;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;4,3;1,5
371;100;0,466666667;1;1 Repaso de álgebra y geometría;31;32;3 Temas Parcial 1 Cálculo I;24,15;1,242093157;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;3;1,5
386;100;0,283333333;1;1 Repaso de álgebra y geometría;45;46;3 Temas Parcial 1 Cálculo I;24,21666667;1,899692562;Negocios Internacionales;Escuela de Negocios;MAT1100;2 Avance entre [ 37 - 55 temas];Cumplimiento meta;5;4,7
326;61;0,283333333;0;0 No dominó temas;27;27;2 Ecuaciones y desigualdades;46,95;0,660347215;Geología;División de Ciencias Básicas;MAT1101;1 Avance entre [ 19 - 40 temas];No alcanzo meta;2;1,5
333;71;2,016666667;9;1 Repaso de álgebra y geometría;33;42;3 Temas Parcial 1 Cálculo I;26,55;1,205437023;Negocios Internacionales;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];Cumplimiento meta;4,5;3,6
363;70;0,1;0;0 No dominó temas;1;1;1 Repaso de Álgebra y Geometría;2;0,498063088;Negocios Internacionales;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;3;3,6
375;79;0,5;4;1 Repaso de álgebra y geometría;30;34;3 Temas Parcial 1 Cálculo I;24,26666667;1,195178075;Negocios Internacionales;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];Cumplimiento meta;4,2;4,4
330;67;0,75;5;1 Repaso de álgebra y geometría;9;14;2 Ecuaciones y desigualdades;8,65;1,040629517;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;2,7;3,4
425;100;1,833333333;62;4 Temas Parcial 2 Cálculo I;17;79;4 Temas Parcial 2 Cálculo I;7,166666667;2,374209567;Ingeniería Mecánica;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;Cumplimiento meta;4,9;4,6
382;78;0,883333333;10;1 Repaso de álgebra y geometría;67;77;4 Temas Parcial 2 Cálculo I;30,93333333;1,842440785;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;3 Avance superior a 60 temas;Cumplimiento meta;3,6;3,6
351;68;1;3;1 Repaso de álgebra y geometría;60;63;4 Temas Parcial 2 Cálculo I;60,53333333;0,99111211;Ingeniería Eléctrica;División de Ingenierías;MAT1101;3 Avance superior a 60 temas;Cumplimiento meta;5;4,7
383;75;0,416666667;8;1 Repaso de álgebra y geometría;60;68;4 Temas Parcial 2 Cálculo I;31,3;1,788994489;Ingeniería Civil;División de Ingenierías;MAT1101;3 Avance superior a 60 temas;Cumplimiento meta;4,2;3,5
402;75;1,766666667;32;3 Plano de coordenadas, distancia y punto medio;31;63;4 Pendientes y ecuaciones de rectas;16,06666667;1,930194749;Arquitectura;Escuela Arquitectura Urb y Dis;MAT1011;3 Avance superior a 29 temas;Cumplimiento meta;5;5
349;67;0,583333333;6;1 Repaso de álgebra y geometría;8;14;2 Ecuaciones y desigualdades;9,066666667;0,882785679;Ingeniería Civil;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;2,1;2,6
283;66;0,333333333;0;0 No dominó temas;25;25;2 Ecuaciones y desigualdades;28,48333333;0,94814468;Contaduría Pública;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];No alcanzo meta;2,8;3,8
377;73;3,166666667;17;2 Ecuaciones y desigualdades;42;59;4 Temas Parcial 2 Cálculo I;28,58333333;1,329639889;Ingeniería Civil;División de Ingenierías;MAT1101;2 Avance entre [ 40 - 60 temas];Cumplimiento meta;4,6;4
361;71;0,983333333;43;4 Pendientes y ecuaciones de rectas;27;70;4 Pendientes y ecuaciones de rectas;12,26666667;2,444268417;Arquitectura;Escuela Arquitectura Urb y Dis;MAT1011;2 Avance entre [ 23 - 29 temas];Cumplimiento meta;5;4,7
404;80;1,933333333;26;2 Ecuaciones y desigualdades;53;79;4 Temas Parcial 2 Cálculo I;31,75;1,764011025;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;2 Avance entre [ 40 - 60 temas];Cumplimiento meta;4,6;4,2
355;74;1,733333333;36;1 Repaso de álgebra y geometría;18;54;1 Repaso de Álgebra y Geometría;6,983333333;2,577053092;Ciencia de Datos;División de Ciencias Básicas;MAT4190;0 Avance menor a 25 temas;No alcanzo meta;4,2;3,2
342;72;1,2;1;1 Repaso de álgebra y geometría;19;20;2 Ecuaciones y desigualdades;10,81666667;1,755917236;Ingeniería Electrónica;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];No alcanzo meta;3;3,1
379;80;1,066666667;13;2 Ecuaciones y desigualdades;35;48;3 Temas Parcial 1 Cálculo I;24,53333333;1,548948119;Ingeniería Mecánica;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;3,8;3,2
424;80;0,916666667;14;2 Ecuaciones y desigualdades;22;36;3 Temas Parcial 1 Cálculo I;10,31666667;2,13362069;Ingeniería Mecánica;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;4,1;4
345;74;0,3;1;1 Repaso de álgebra y geometría;3;4;1 Repaso de Álgebra y Geometría;2,916666667;1,025738437;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;2,4;3
386;71;0,916666667;67;1 Repaso de álgebra y geometría;0;67;1 Repaso de Álgebra y Geometría;1;0;Matemáticas;División de Ciencias Básicas;MAT4190;0 Avance menor a 25 temas;No alcanzo meta;4,7;4,5
356;72;0,416666667;1;1 Repaso de álgebra y geometría;49;50;3 Temas Parcial 1 Cálculo I;20,76666667;2,551313766;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;2 Avance entre [ 40 - 60 temas];Cumplimiento meta;5;4,2
303;77;0,233333333;0;0 No dominó temas;31;31;3 Temas Parcial 1 Cálculo I;22,9;0,916863744;Administración de Empresas;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];Cumplimiento meta;4,2;4,4
296;57;0,416666667;3;1 Repaso de álgebra y geometría;18;21;2 Ecuaciones y desigualdades;11,8;1,524885281;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;2,2;2,7
425;76;1,616666667;35;3 Temas Parcial 1 Cálculo I;44;79;4 Temas Parcial 2 Cálculo I;18,3;2,021121631;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;2 Avance entre [ 40 - 60 temas];Cumplimiento meta;5;4,8
383;76;0,616666667;13;2 Ecuaciones y desigualdades;18;31;3 Temas Parcial 1 Cálculo I;6,733333333;2,671173585;Ingeniería Mecánica;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;Cumplimiento meta;4;3,5
362;70;0,616666667;4;1 Repaso de álgebra y geometría;70;74;4 Temas Parcial 2 Cálculo I;32,45;2,003030225;Ciencia de Datos;División de Ciencias Básicas;MAT1101;3 Avance superior a 60 temas;Cumplimiento meta;5;4
299;58;0,25;1;1 Repaso de álgebra y geometría;7;8;1 Repaso de Álgebra y Geometría;3,866666667;1,810865191;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;2,2;1,5
312;53;1,333333333;10;1 Repaso de álgebra y geometría;16;26;2 Ecuaciones y desigualdades;7,466666667;2,143495088;Ciencia de Datos;División de Ciencias Básicas;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;3;3,4
352;72;1,483333333;29;1 Repaso de álgebra y geometría;87;116;3 Gráficos y funciones;33,13333333;2,626150828;Ciencia de Datos;División de Ciencias Básicas;MAT4190;3 Avance superior a 80 temas;No alcanzo meta;3,6;3,4
367;72;0,366666667;1;1 Repaso de álgebra y geometría;23;24;2 Ecuaciones y desigualdades;24,7;1,011849886;Negocios Internacionales;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];No alcanzo meta;3;1,5
378;76;0,65;4;1 Repaso de álgebra y geometría;18;22;2 Ecuaciones y desigualdades;16,85;1,068354931;Ingeniería Civil;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;3,5;1,5
342;72;1,183333333;9;1 Repaso de álgebra y geometría;1;10;1 Repaso de Álgebra y Geometría;2,783333333;0,36036036;Negocios Internacionales;Escuela de Negocios;MAT1100;0 Avance menor a 18 temas;No alcanzo meta;4,2;3,8
348;72;1,333333333;13;2 Ecuaciones y desigualdades;23;36;3 Temas Parcial 1 Cálculo I;24,76666667;0,928750897;Ingeniería Civil;División de Ingenierías;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;2,6;3,5
345;68;0,516666667;7;1 Repaso de álgebra y geometría;65;72;4 Temas Parcial 2 Cálculo I;30,35;2,438198442;Ingeniería Electrónica;División de Ingenierías;MAT1101;3 Avance superior a 60 temas;Cumplimiento meta;4,7;3,8
341;60;0,983333333;7;1 Repaso de álgebra y geometría;11;18;2 Ecuaciones y desigualdades;8,25;1,332167126;Ingeniería Industrial;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;2,2;3
392;74;2,35;42;3 Temas Parcial 1 Cálculo I;37;79;4 Temas Parcial 2 Cálculo I;17,11666667;2,278444037;Ciencia de Datos;División de Ciencias Básicas;MAT1101;1 Avance entre [ 19 - 40 temas];Cumplimiento meta;4,4;4,9
370;74;0,566666667;15;1 Repaso de álgebra y geometría;22;37;1 Repaso de Álgebra y Geometría;6,133333333;3,589883057;Ciencia de Datos;División de Ciencias Básicas;MAT4190;0 Avance menor a 25 temas;No alcanzo meta;3,5;3,4
396;75;0,833333333;9;1 Repaso de álgebra y geometría;43;52;3 Temas Parcial 1 Cálculo I;30,9;1,327003992;Negocios Internacionales;Escuela de Negocios;MAT1100;2 Avance entre [ 37 - 55 temas];Cumplimiento meta;5;4,8
338;73;0,283333333;0;0 No dominó temas;29;29;2 Ecuaciones y desigualdades;30,01666667;1,132745984;Negocios Internacionales;Escuela de Negocios;MAT1100;1 Avance entre [ 18 - 37 temas];No alcanzo meta;2,7;3,3
363;71;2,283333333;18;2 Ecuaciones y desigualdades;45;63;4 Temas Parcial 2 Cálculo I;21,21666667;2,121279577;Ciencia de Datos;División de Ciencias Básicas;MAT1101;2 Avance entre [ 40 - 60 temas];Cumplimiento meta;4,4;4,5
381;73;0,483333333;4;1 Repaso de álgebra y geometría;61;65;4 Temas Parcial 2 Cálculo I;29,36666667;2,009612837;Ingeniería Industrial;División de Ingenierías;MAT1101;3 Avance superior a 60 temas;Cumplimiento meta;4,8;4,6
338;68;;0;0 No dominó temas;0;0;0 No dominó temas;0;0;Ingeniería Sistemas Y Computac;División de Ingenierías;MAT1101;0 Avance menor a 19 temas;No alcanzo meta;3,2;3,5
